#,Name,Price,Ben,Emily,Helena,Justine
0,Delivery costs,0.0,yes,yes,yes,yes
1,Voucher savings,-1.84,,yes,yes,yes
2,Evian Still Mineral Water Sports Cap,2.0,,yes,,
3,Evian Still Mineral Water Sports Cap,2.0,,yes,,
4,Fairtrade Bananas essential Waitrose,1.0,,,,yes
5,Fresh Wholemeal Pitta Bread essential Waitrose,0.6,,,,yes
6,Fresh Wholemeal Pitta Bread essential Waitrose,0.6,,,yes,
7,Green & Black's Organic Dark Chocolate,1.75,,,yes,
8,Green & Black's Organic White Chocolate,1.75,,,yes,
9,Italian Arborio Risotto Rice Waitrose,1.23,,,yes,
10,Lindt Excellence 70% Cocoa Dark Chocolate,1.85,,,,yes
11,Mixed Peppers essential Waitrose,1.75,,,yes,
12,Napolina Chopped Tomatoes,2.0,,,,yes
13,Napolina Chopped Tomatoes,2.0,,,,yes
14,Ocado Easy Peelers,1.99,,,yes,
15,Parozone Flushable Toilet Wipes,1.0,yes,yes,yes,yes
16,Parozone Flushable Toilet Wipes,1.0,yes,yes,yes,yes
17,Persil Small & Mighty Non Bio Liquid 60 Wash,8.0,yes,yes,yes,yes
18,Wholewheat Cous Cous Waitrose Love Life,0.99,,,,yes
19,Broccoli essential Waitrose,1.25,,,yes,
20,Carrot Batons essentials Waitrose,1.0,,,,yes
21,Cherry Tomatoes essential Waitrose,0.94,,,,yes
22,Curly Kale Waitrose,0.8,,,,yes
23,Eggs Free Range essential Waitrose,1.99,,,yes,
24,English Conference Pears essential Waitrose,1.99,,,yes,
25,Kerrygold Irish Butter,1.6,,,,yes
26,Mixed Salad essential Waitrose,1.99,,,,yes
27,Ocado 15 Mixed Weight Free Range Eggs,2.28,,,,yes
28,Ocado 6 British Smoked Back Bacon Rashers Thick Cut,2.25,,,,yes
29,Ocado 6 British Smoked Back Bacon Rashers Thick Cut,2.25,,,,yes
30,Ocado 8 British Unsmoked Bacon Rashers,2.12,,,yes,
31,Ocado Beef Mince 20% Fat,2.5,,,,yes
32,Ocado Beef Mince 20% Fat,2.5,,,,yes
33,Ocado Cauliflower,1.0,,,yes,
34,Ocado Green Seedless Grapes,3.0,,,,yes
35,Ocado Red Seedless Grapes,3.0,,,,yes
36,Ocado Trimmed Leeks,1.145,,,,yes
37,Ocado Trimmed Leeks,1.145,,,,yes
38,Semi Skimmed Milk 1.7% Fat 4 Pint essential Waitrose,1.39,,,yes,
39,Seriously Strong Red Cheddar,0.0,,,,yes
40,Seriously Strong Vintage Cheddar,5.0,,,,yes
41,Yeo Valley Organic Fat Free Natural Yogurt,1.5,,,yes,
42,Young's Cooked & Peeled King Prawns Frozen,3.0,,,,yes
